Area_Code,Land_Zoning,Business_Acreage,River_Proximity,Pollution_Level,Rooms_Avg,Old_Units_Rate,Distance_Centers,Highway_Access,Tax_Rate,Student_Teacher_Ratio,Demographic_Index,Low_Status_Pop,Median_House_Value
0.06,17.94,2.52,-0.1,0.24,6.62,65.17,4.18,0.99,295.99,15.27,397.01,5,24.03
0.01,-0.09,7,0.19,0.49,6.33,78.92,4.86,2.04,241.97,17.9,396.97,9.19,21.42
0.09,0,7.24,0.12,0.65,7.24,61,5.1,1.93,241.9,17.77,392.86,4.2,34.67
0.18,-0.08,2.2,0.06,0.58,6.91,45.78,6.09,3.02,222.04,18.57,394.53,2.86,33.42
0.05,0.03,2.11,-0.02,0.48,7.11,54.26,6.13,3.05,221.95,18.77,396.9,5.2,36.17
0.01,-0.01,2.13,-0.1,0.41,6.4,58.72,6.21,3.02,222.07,18.68,394.07,5.12,28.55
0.25,12.48,7.84,-0.04,0.6,6.11,66.54,5.45,4.9,310.89,15.2,395.57,12.3,23.06
0.22,12.41,7.91,0.11,0.43,6.26,96.12,5.95,5.02,311.17,15.36,396.86,19.28,27.11
0.16,12.44,7.92,0.19,0.57,5.51,100.07,6.03,5.15,310.91,15.2,386.53,30.08,16.64
0.22,12.58,7.81,0.15,0.57,6.01,85.7,6.44,5.04,311.02,15.23,386.51,17.13,18.87
0.18,12.55,7.87,-0.05,0.63,,94.42,6.38,5.1,311.08,15.08,392.45,20.57,14.91
0.07,12.4,8.08,-0.11,0.8,5.88,82.87,6.48,4.98,310.94,15.18,396.92,13.28,18.93
0.12,12.51,8.04,0.01,0.56,5.87,39.04,5.27,5.07,311.09,15.26,390.37,15.7,21.68
0.44,0.08,8.18,-0.18,0.49,5.92,61.92,4.7,4.03,306.88,20.84,396.9,8.23,20.28
0.47,-0.17,8.14,0.03,0.54,6.34,84.36,4.53,3.9,307.15,21.02,380.21,10.23,18.35
0.57,0.05,8.15,-0.01,0.36,5.88,56.43,4.51,4.03,307,21.01,395.72,8.32,19.84
0.95,-0.07,8.2,-0.05,0.47,5.8,29.27,4.49,3.9,306.94,21,387.01,6.61,22.92
0.82,0.06,8.04,-0.16,0.5,5.93,81.62,4.13,3.94,306.97,21.1,386.79,14.67,17.63
0.71,-0.08,8.11,0.05,0.49,5.56,36.77,3.82,4.02,307.08,21.03,289.11,11.76,20.15
0.58,-0.18,7.97,-0.05,0.55,5.94,69.41,3.72,4.03,306.94,21.15,390.88,11.29,18.14
1.4,-0.16,8.18,-0.12,0.46,5.41,98.04,3.58,3.88,306.93,20.9,376.51,21,13.42
0.83,0,8.2,-0.29,0.65,5.78,89.22,4.13,4.11,306.98,21.01,392.26,13.74,19.77
1.24,0.03,8.09,0,0.54,6.33,91.58,4.07,4.06,306.88,21.01,397.02,18.73,15.07
0.85,-0.09,8.3,0.18,0.54,5.85,99.96,4.1,3.93,307.18,20.89,394.69,19.95,14.51
0.7,0.06,8.02,0.17,0.51,5.84,94.13,4.42,3.85,306.94,21.1,394.27,16.19,15.69
0.85,-0.17,7.99,-0.05,0.55,5.65,85.67,4.56,3.99,307.08,21.23,303.39,16.52,13.94
0.56,-0.01,8.16,-0.06,0.62,5.55,90.29,4.7,3.96,307.02,21,376.8,14.83,16.59
0.99,-0.12,8.24,0.05,0.45,6.05,88.75,4.54,4.01,306.9,21.05,306.42,17.21,14.63
0.71,-0.07,8.31,-0.1,0.47,6.53,94.25,4.42,3.96,307,21.01,388.05,12.74,18.32
0.97,0,8.09,0.03,0.51,6.77,87.33,4.37,3.8,307.08,20.93,380.06,12,21.02
1.07,-0.09,8.25,0.08,0.4,5.61,94.28,4.27,3.96,306.98,20.82,360.21,22.49,12.62
1.54,-0.04,8.14,0.12,0.46,6.08,100,4.19,3.97,307.12,20.93,376.7,13.07,14.52
1.39,0.1,8.12,-0.01,0.49,5.86,82.02,3.86,4.06,307.1,20.86,232.61,27.62,13.27
1.05,-0.06,8.23,-0.02,0.63,5.73,95.07,3.82,3.93,307.09,21.17,358.82,18.46,13.2
1.7,0.08,8.21,-0.09,0.56,6.01,96.77,3.68,4.17,306.95,20.99,248.29,20.57,13.38
-0.06,-0.11,5.8,-0.08,0.52,,68.37,3.3,4.81,278.89,19.17,396.89,9.59,19.12
0.12,0.05,6.11,-0.02,0.58,5.74,61.42,3.3,5.13,278.94,19.29,377.54,11.46,20.08
-0.12,0.14,6.1,0.04,0.49,5.92,41.66,3.83,4.98,279.02,19.09,397,8.7,21
0.04,-0.25,5.9,0.09,0.54,6.05,30.13,4.06,5.09,279.05,19.12,393.47,10.23,24.81
0.05,74.92,2.99,-0.08,0.42,6.57,21.98,5.53,3.01,251.78,18.31,395.65,4.19,31.04
0.11,75.06,3,0.15,0.45,7.03,15.88,5.59,3.11,252,18.4,395.49,2.03,34.76
0.14,-0.02,6.94,-0.03,0.39,6.63,2.96,5.6,2.96,233.02,17.95,385.37,4.75,26.58
0.13,0.04,6.85,0,0.2,6.14,6.62,5.73,2.89,232.97,17.92,383.46,5.79,25.06
0.13,-0.06,6.84,-0.07,0.43,6.21,6.48,5.59,3.14,233.13,17.91,394.46,7.34,24.72
-0.03,0.01,6.91,-0.24,0.59,6.33,40.12,5.65,2.99,233.04,17.94,389.46,9.63,21.24
0.1,-0.02,7.03,0.09,0.54,5.57,33.81,5.01,3.02,233.13,17.92,397.08,10.13,19.3
0.14,0.12,6.96,0.07,0.54,5.93,33.1,5.22,3.12,232.98,17.8,397,14.21,19.93
0.33,0.03,6.87,-0.03,0.57,6.13,85.39,5.65,2.9,233.09,17.9,392.75,18.77,16.4
0.29,0.03,6.99,0.01,0.46,5.43,95.28,5.98,3.06,233.16,17.79,396.85,30.8,14.44
0.04,-0.04,6.63,0.05,0.47,5.78,62.03,6.15,2.94,233.13,17.91,396.64,16.21,19.55
0.12,20.95,5.75,-0.16,0.38,6,45.69,7.05,3.99,242.89,16.75,395.54,13.37,19.64
0,20.96,5.47,-0.05,0.41,6.15,63.12,6.67,4.01,242.97,17.05,393.94,9.45,20.54
-0.01,21.04,5.6,0.08,0.5,6.51,20.9,6.94,3.85,242.97,16.8,396.94,5.43,24.84
0.11,20.96,5.53,-0.13,0.56,6.12,21.41,6.93,3.92,243.05,16.66,396.88,8.35,23.45
0.12,75.03,3.87,0.03,0.4,6,47.42,7.22,3.14,469.07,21.09,396.87,14.92,18.86
0.11,90.21,1.34,-0.14,0.36,7.19,21.98,8.8,5.09,225.92,17.95,395.75,4.96,35.32
-0.06,85.09,0.69,0.05,0.41,6.25,35.69,9.22,1.99,313.01,17.47,396.81,5.69,24.62
-0.02,99.97,1.35,0,0.47,6.8,40.54,8.3,5.02,255.8,15.04,392.95,3.8,31.56
0.19,25.12,5.13,-0.16,0.31,6.06,29.11,7.73,7.97,284.14,19.54,390.85,6.89,23.34
0.2,24.96,5.18,0.12,0.22,5.92,47.33,6.86,8.14,283.95,19.78,396.89,9.17,19.47
0.1,24.8,5.14,-0.07,0.4,5.86,66.3,7.43,7.98,284.01,19.56,395.14,13.34,18.66
0.15,24.9,5,-0.08,0.33,5.92,93.46,6.82,8.02,283.97,19.66,378.18,14.44,16
0,24.81,5.23,0.02,0.4,6.45,67.79,7.3,8.11,284.11,19.67,396.82,6.65,22.09
0.01,24.96,5.08,0.11,0.44,,43.46,7.9,7.92,283.72,19.69,395.62,9.39,25.18
0.1,17.5,1.22,-0.1,0.37,7.19,59.43,9.14,3.16,216,18.67,393.17,8.16,32.91
0.17,80.17,3.33,0.01,0.54,6.07,17.89,6.72,3.85,336.99,16.03,396.99,4.61,23.43
0.04,80.03,3.52,0.04,0.43,5.73,31.26,6.48,4.16,336.95,16.07,396.92,10.24,19.3
0.16,12.48,6.16,0.07,0.44,5.9,21.51,6.46,3.96,345.17,18.9,396.24,8.2,22.18
0.17,12.58,6.04,0.02,0.47,5.71,36.73,6.5,3.98,344.91,18.91,396.82,13.04,17.46
0.06,12.28,6.04,-0.04,0.3,5.84,33.04,6.51,3.81,345.08,18.91,396.97,8.79,20.81
0.12,0.02,10.78,-0.08,0.52,6.23,6.47,5.27,3.95,305.04,19.24,383.94,6.72,24.31
0.31,0.08,11.02,0.01,0.41,6.02,17.56,5.33,3.9,305.13,19.28,376.84,9.95,21.72
0.09,-0.15,10.85,-0.11,0.48,6,7.85,5.36,3.94,304.93,19.24,390.88,5.58,22.83
0.35,0.11,10.85,-0.29,0.31,6.13,6.01,5.36,3.99,304.93,19.25,377.19,7.52,23.37
-0.18,0.03,12.93,0.04,0.28,6.21,5.88,4.15,5.1,398.11,18.54,395,6.79,24.03
0.18,-0.04,12.85,0.09,0.52,6.27,44.97,4.47,5.02,398.04,18.71,383.17,8.9,21.43
0.11,0.06,12.8,-0.24,0.47,6.22,74.47,4.17,5.03,397.85,18.75,373.38,11.82,19.95
0.06,0.23,12.81,-0.1,0.35,5.92,45.68,4.18,4.89,397.95,18.77,387.1,10.3,20.98
0.07,0.02,12.82,0.06,0.35,6.32,53.74,4.88,4.91,398.04,18.63,386.48,12.53,21.07
-0.11,0.02,12.83,0.21,0.55,6,36.63,4.54,5.18,398.08,18.63,395.89,9.01,20.45
0.02,24.95,4.93,0,0.31,6.79,33.48,5.2,3.93,280.93,18.94,396.84,5.21,27.99
0.08,24.92,4.87,-0.07,0.59,6.51,70.32,5.41,4.17,280.71,19.05,395.79,7.13,23.93
0.18,25.08,4.93,-0.02,0.34,6.28,32.3,5.59,3.98,281.05,19.1,397.04,6.79,24.88
-0.02,24.91,4.85,0.14,0.49,6.17,46.87,5.31,4,280.88,18.96,390.73,7.55,22.84
-0.03,0.01,4.5,-0.06,0.42,6.45,47.95,4.7,3.11,246.8,18.59,396.88,9.6,23.99
0.01,-0.05,4.29,-0.08,0.51,6.7,56.04,4.51,3.13,246.72,18.51,392.31,6.44,26.33
0.14,0.05,4.58,-0.05,0.39,5.94,45.15,4.27,2.99,247.08,18.49,395.98,12.87,22.43
0.1,0.03,4.52,-0.1,0.43,6.13,56.76,3.68,2.96,247.01,18.48,395.26,8.28,22.11
0,0.1,3.51,0.01,0.49,7.05,86.29,3.48,1.99,269.98,17.87,396.81,5.51,23.47
0.1,-0.05,3.12,0.16,0.39,7.22,63.17,3.35,2.03,270.14,17.83,395.98,5.79,28.68
0.06,-0.03,3.62,0.03,0.56,6.49,65.91,3.07,2.09,270.06,18.03,392.28,8.68,22.64
0.14,-0.1,3.4,-0.03,0.44,6.48,74.03,3.17,2,270.16,17.71,393.55,8.05,22.07
-0.03,27.96,15.15,-0.03,0.44,6.45,53.61,3.71,4.06,269.86,18.25,395.15,8.32,22.92
0,28.04,14.94,-0.16,0.36,6.35,28.86,3.69,4.16,270,18.15,396.26,6.15,24.93
0,28.08,15.1,0.09,0.21,6.29,77.29,3.58,4.04,269.84,18.11,396.89,10.7,20.64
-0.02,-0.09,2.78,-0.01,0.43,6.54,57.8,3.53,2.03,275.98,18,357.89,6.63,28.41
0.14,0.09,2.83,-0.02,0.69,,69.43,3.48,1.85,275.98,18.01,391.83,11.32,21.49
0.15,0.14,3.08,0.32,0.52,8.14,76.15,3.54,1.74,276.06,18.29,396.75,4.25,38.78
0.08,0.04,2.87,0.03,0.44,7.78,36.9,3.45,2.04,276,17.98,393.48,3.48,43.8
0.05,0.19,2.91,-0.08,0.42,7.37,62.54,3.48,1.99,276.06,17.89,396.76,6.2,33.11
0.01,-0.08,8.65,-0.04,0.52,6.76,80,2.68,4.95,384.07,20.93,394.83,9.38,27.43
0.07,-0.12,8.61,0.11,0.57,6.83,71.2,2.85,5.02,384.22,20.69,395.65,7.54,26.45
0.19,-0.18,8.58,0.01,0.4,6.42,85.45,2.63,4.99,383.97,20.89,70.63,10.66,18.57
0.13,0.15,8.6,-0.14,0.63,6.17,87.37,2.6,5.11,383.91,20.9,394.6,13.41,19.33
0.12,0.07,8.8,0.09,0.59,6.34,90.08,2.45,5.01,384.02,20.98,392.94,12.31,20.17
0.17,-0.01,8.55,-0.07,0.59,5.96,96.49,2.13,4.93,383.92,21,394.05,16.35,19.49
0.36,0.03,8.58,0.19,0.56,5.86,91.89,2.29,5.1,384.15,20.85,395.61,18.82,19.5
0.15,-0.11,8.67,0.11,0.52,6.22,85.14,2.08,4.98,383.97,20.88,387.97,14.18,20.41
0.15,0.24,8.67,-0.04,0.59,6.37,97.14,2.47,5.05,383.94,20.82,395.11,12.37,19.75
0.26,0.01,8.68,0.13,0.58,6.27,91.25,2.6,4.95,383.95,20.79,391.23,15.52,19.31
-0.08,0.01,8.62,0.01,0.48,6.38,54.33,2.82,4.94,384.07,20.93,393.51,12.83,21.52
0.1,0.07,9.9,0.09,0.49,6.69,81.53,2.59,6.01,431.98,17.67,395.72,10.36,22.73
0.13,0.05,10.17,0.05,0.56,5.83,92.89,2.37,6,431.94,17.76,394.99,16.2,18.85
0.47,0.02,9.9,-0.08,0.7,6.03,95.31,2.58,6.05,432.17,17.7,396.85,17.02,18.63
0.12,-0.08,10.04,-0.06,0.42,6.15,84.28,2.26,5.97,431.91,17.85,388.64,10.49,18.48
0.2,0.05,9.93,0.1,0.4,5.85,88.16,2.25,5.82,432,17.98,344.88,15.88,18.35
0.13,0.19,10,-0.03,0.56,6.14,72.21,2.75,5.96,432.07,17.67,393.2,12.04,21.25
0.03,0.13,10.04,-0.04,0.55,5.88,82.56,2.97,6.08,431.84,17.61,394.51,10.43,19.09
0.24,0.16,10.04,-0.1,0.56,5.87,73,2.44,5.97,432.05,17.79,338.57,15.48,20.5
0.22,-0.05,10.05,0.04,0.57,5.82,65.04,2.69,5.98,431.89,17.8,391.35,13.5,19.41
0.15,-0.1,25.81,0.21,0.56,5.78,69.58,2.3,2.1,188.08,19.12,389.28,14.3,21.89
-0.02,-0.01,25.7,-0.11,0.73,6.16,84.11,2.23,1.93,187.9,19.06,377.62,14.37,20.22
0.23,0.01,25.63,0,0.42,6.01,93.03,2.21,1.85,188.07,19.08,377.96,17.66,20.62
0.01,0.11,25.75,0.14,0.5,5.96,97.03,1.82,1.98,188.11,19.14,370.29,25.4,17.29
0.16,-0.17,25.77,-0.01,0.57,5.81,95.74,2.08,1.95,188.09,19.2,379.39,17.44,18.58
0.39,0.15,25.53,0.05,0.42,6.07,88.45,2.05,1.9,188.03,18.9,384.85,14.76,21.26
0.29,-0.02,25.71,-0.11,0.56,5.5,95.55,1.74,1.98,187.98,19.06,359.32,27.23,15.68
0.2,-0.04,21.96,0.04,0.79,5.78,95.93,1.82,4.05,436.94,21.22,392.01,17.15,16.08
0.34,-0.1,21.86,-0.02,0.63,6.45,98.68,1.92,4,437.15,21.11,397.07,15.33,17.96
0.83,-0.17,22.03,0.1,0.65,5.69,94.52,2.07,4.03,436.93,21.37,396.95,18.23,14.3
0.18,0.08,21.87,0.12,0.5,6.34,98.86,2,4.18,436.9,21.14,395,12.83,19.35
1.2,0.01,21.9,0.26,0.56,6.24,97.72,2.35,3.97,437.07,21.2,396.83,12.45,19.57
0.48,-0.13,21.87,0.06,0.59,6.43,97.89,2.32,4.03,436.92,21.26,385.75,11,23.11
0.38,-0.13,21.89,0.03,0.59,5.73,95.36,2.48,3.95,436.9,21.14,388.75,15.19,18.54
0.88,-0.03,21.78,0.02,0.75,5.8,98.31,2.35,3.92,436.86,21.02,262.76,17.27,15.74
0.71,0.17,21.75,-0.04,0.68,,98.26,2.1,3.94,436.95,21.16,394.65,16.97,18.13
0.24,-0.03,22.05,0.03,0.51,6.03,93.37,2.09,3.95,436.99,21.3,378.26,16.89,17.2
0.32,-0.15,21.81,-0.03,0.65,6.33,98.48,1.84,4.04,437.02,21.17,394.02,14.52,17.15
0.33,-0.02,21.79,0.02,0.67,5.91,98.1,1.56,4.23,437.1,21.12,392.01,21.42,13.4
0.42,-0.03,21.67,0.13,0.74,6.21,97.82,1.63,3.93,437.05,21.29,396.69,18.47,17.79
0.31,-0.27,21.83,-0.1,0.78,6.1,93.45,1.63,3.96,436.98,21.17,388.18,24.11,14.17
1.76,-0.01,21.76,0.11,0.52,5.08,99.95,1.56,3.99,436.98,21.15,396.93,34.28,14.49
3.16,-0.02,19.74,1.13,0.79,5.43,100.1,1.38,5.04,403.05,14.71,396.82,26.73,13.46
4.12,0.07,19.68,-0.01,0.75,5.41,100.05,1.33,5.03,403.13,14.78,397.09,26.26,15.71
2.81,0.18,19.51,-0.21,0.85,4.8,97.9,1.59,5.13,403.01,14.94,396.91,29.29,11.83
2.46,0.11,19.81,-0.06,0.92,5.93,100.05,1.45,4.76,402.95,14.78,172.81,27.68,13.55
2.03,-0.03,19.68,0.13,0.97,5.66,99.89,1.64,4.76,402.9,14.82,169.36,16.62,15.55
2.24,-0.11,19.55,0,0.86,4.77,95.67,1.45,4.95,402.86,14.65,391.75,29.67,14.72
2.38,0.26,19.33,-0.1,0.84,5.2,93.72,1.58,5.11,403.07,14.6,357.03,28.44,17.72
2.76,0.01,19.81,-0.05,0.89,5.57,95.03,1.61,4.84,403.06,14.71,351.81,21.45,15.38
1.68,0,19.44,0.08,0.79,6.19,97.18,1.74,4.7,403.06,14.71,372.85,14.09,21.4
1.53,0,19.42,0.05,1.08,5.37,100.09,1.7,5.06,402.99,14.59,341.57,13.47,19.78
1.06,0.02,19.68,0.98,0.71,4.98,88.09,1.7,5.02,403.14,14.68,343.34,12.17,15.47
2.17,-0.01,19.82,-0.04,0.89,5.78,98.68,1.59,4.89,402.95,14.74,261.76,15.76,19.31
1.44,-0.06,19.72,0.96,1.07,6.16,95.96,1.69,4.9,403.1,14.74,320.98,14.98,17.01
3.46,-0.05,19.64,0.91,0.87,6.18,82.67,1.78,4.9,403,14.75,88.18,15.06,15.53
2.63,0,19.64,0.16,0.85,5.32,94.23,1.83,5.01,402.94,14.73,88.55,16.22,13.16
1.27,-0.05,19.67,-0.03,0.57,6.79,97.34,1.86,4.94,403.06,14.65,363.37,4.53,41.35
1.22,-0.07,19.66,0.12,0.59,6.14,99.85,1.86,5.05,403.04,14.65,353.85,6.46,24.38
1.49,0.01,19.61,0.15,1.01,6.57,99.81,1.91,4.71,403.04,14.58,364.19,7.35,23.33
1.18,-0.03,19.59,1.1,0.38,6.15,92.67,1.71,4.91,403.01,14.88,338.7,5.48,27.29
1.54,0.15,19.57,-0.04,0.76,7.46,90.61,1.89,4.89,403,14.7,374.41,1.48,49.9
1.95,-0.27,19.5,1.04,0.46,7.8,98.16,2.03,4.97,403.24,14.68,389.62,1.9,49.83
1.44,0.11,19.55,1,0.58,8.36,93.94,2.19,4.95,403.12,14.61,388.44,3.42,49.96
2.34,0.12,19.41,-0.09,0.56,5.89,91.82,2.37,5.08,403.07,14.99,395.1,11.58,22.54
2.97,-0.21,19.57,0.03,0.66,6.24,93.04,2.42,4.81,403.01,14.59,240.16,9.82,24.85
2.09,-0.03,19.48,-0.12,0.45,8.04,96.22,2.09,5,403.1,14.66,369.4,3.62,49.9
